ticker,symbol_yf,company_name,listing_date,shares_outstanding,board,status,sector
DKHH,DKHH.JK,Cipta Sarana Medika Tbk.,08 Mei 2025,2550157513,Pengembangan,active,
DLTA,DLTA.JK,Delta Djakarta Tbk.,27 Feb 1984,800659050,Utama,active,
DMAS,DMAS.JK,Puradelta Lestari Tbk.,29 Mei 2015,48198111100,Utama,active,
DMMX,DMMX.JK,Digital Mediatama Maxima Tbk.,21 Okt 2019,7692307700,Pengembangan,active,
DMND,DMND.JK,Diamond Food Indonesia Tbk.,22 Jan 2020,9468359000,Pengembangan,active,
DNAR,DNAR.JK,Bank Oke Indonesia Tbk.,11 Jul 2014,16721891185,Pengembangan,active,
DNET,DNET.JK,Indoritel Makmur Internasional,11 Des 2000,14184000000,Utama,active,
DOID,DOID.JK,BUMA Internasional Grup Tbk.,15 Jun 2001,7651007132,Utama,active,
DOOH,DOOH.JK,Era Media Sejahtera Tbk.,08 Mei 2023,7738891036,Pengembangan,active,
DOSS,DOSS.JK,Global Sukses Digital Tbk.,07 Agt 2024,1725000000,Pengembangan,active,
DPNS,DPNS.JK,Duta Pertiwi Nusantara Tbk.,08 Agt 1990,331129952,Pengembangan,active,
DPUM,DPUM.JK,Dua Putra Utama Makmur Tbk.,08 Des 2015,4175000000,Pengembangan,active,
DRMA,DRMA.JK,Dharma Polimetal Tbk.,20 Des 2021,4705882300,Utama,active,
DSFI,DSFI.JK,Dharma Samudera Fishing Indust,24 Mar 2000,1857135500,Pengembangan,active,
DSNG,DSNG.JK,Dharma Satya Nusantara Tbk.,14 Jun 2013,10599842400,Utama,active,
DSSA,DSSA.JK,Dian Swastatika Sentosa Tbk,10 Des 2009,192638080000,Utama,active,
DUCK,DUCK.JK,Jaya Bersama Indo Tbk.,10 Okt 2018,1283330000,Pemantauan Khusus,special_monitoring,
DUTI,DUTI.JK,Duta Pertiwi Tbk,02 Nov 1994,1850000000,Pengembangan,active,
DVLA,DVLA.JK,Darya-Varia Laboratoria Tbk.,11 Nov 1994,1120000000,Pengembangan,active,
DWGL,DWGL.JK,Dwi Guna Laksana Tbk.,13 Des 2017,9252820991,Pengembangan,active,
DYAN,DYAN.JK,Dyandra Media International Tb,25 Mar 2013,4272964279,Pengembangan,active,
EAST,EAST.JK,Eastparc Hotel Tbk.,09 Jul 2019,4126405336,Pengembangan,active,
ECII,ECII.JK,Electronic City Indonesia Tbk.,03 Jul 2013,1334333000,Pengembangan,active,
